time	x	rho	rhou
0.395285	93	1	4.25025e-10
0.395285	94	1	1.83216e-10
0.395285	95	1	7.7384e-11
0.395285	96	1	3.20249e-11
0.395285	97	1	1.29862e-11
0.395285	98	1	5.15994e-12
0.395285	99	1	2.00901e-12
0.395285	100	1	0
0.395285	101	1	-2.00901e-12
0.395285	102	1	-5.15994e-12
0.788434	-1	1	4.11472e-12
0.788434	0	1	0
0.788434	1	1	-4.11472e-12
0.788434	2	1	-1.06275e-11
0.788434	3	1	-2.6728e-11
0.788434	4	1	-6.57985e-11
0.788434	5	1	-1.58728e-10
0.788434	6	1	-3.75205e-10
0.788434	7	1	-8.69063e-10
0.788434	8	1	-1.97238e-09
0.788434	9	1	-4.38605e-09
0.788434	10	1	-9.55629e-09
0.788434	11	1	-2.03997e-08
0.788434	12	1	-4.26638e-08
0.788434	13	1	-8.74147e-08
0.788434	14	1	-1.75461e-07
0.788434	15	1	-3.45007e-07
0.788434	16	1	-6.64521e-07
0.788434	17	1.00001	-1.25372e-06
0.788434	18	1.00001	-2.31675e-06
0.788434	19	1.00002	-4.19297e-06
0.788434	20	1.00004	-7.43184e-06
0.788434	21	1.00007	-1.28995e-05
0.788434	22	1.00012	-2.19241e-05
0.788434	23	1.00021	-3.64837e-05
0.788434	24	1.00035	-5.94381e-05
0.788434	25	1.00059	-9.47923e-05
0.788434	26	1.00096	-0.000147969
0.788434	27	1.00153	-0.000226047
0.788434	28	1.0024	-0.0003379
0.788434	29	1.00368	-0.000494158
0.788434	30	1.00554	-0.000706874
0.788434	31	1.00818	-0.000988815
0.788434	32	1.01183	-0.00135228
0.788434	33	1.01677	-0.00180743
0.788434	34	1.02331	-0.00236012
0.788434	35	1.03176	-0.00300946
0.788434	36	1.04241	-0.00374533
0.788434	37	1.05552	-0.00454622
0.788434	38	1.07124	-0.00537787
0.788434	39	1.08961	-0.0061933
0.788434	40	1.1105	-0.00693438
0.788434	41	1.13356	-0.00753542
0.788434	42	1.15824	-0.00792833
0.788434	43	1.18378	-0.00805014
0.788434	44	1.20923	-0.00784971
0.788434	45	1.2335	-0.00729531
0.788434	46	1.25543	-0.00638105
0.788434	47	1.2739	-0.0051298
0.788434	48	1.28791	-0.00359362
0.788434	49	1.29666	-0.001851
0.788434	50	1.29963	0
0.788434	51	1.29666	0.001851
0.788434	52	1.28791	0.00359362
0.788434	53	1.2739	0.0051298
0.788434	54	1.25543	0.00638105
0.788434	55	1.2335	0.00729531
0.788434	56	1.20923	0.00784971
0.788434	57	1.18378	0.00805014
0.788434	58	1.15824	0.00792833
0.788434	59	1.13356	0.00753542
0.788434	60	1.1105	0.00693438
0.788434	61	1.08961	0.0061933
0.788434	62	1.07124	0.00537787
0.788434	63	1.05552	0.00454622
0.788434	64	1.04241	0.00374533
0.788434	65	1.03176	0.00300946
0.788434	66	1.02331	0.00236012
0.788434	67	1.01677	0.00180743
0.788434	68	1.01183	0.00135228
0.788434	69	1.00818	0.000988815
0.788434	70	1.00554	0.000706874
0.788434	71	1.00368	0.000494158
0.788434	72	1.0024	0.0003379
0.788434	73	1.00153	0.000226047
0.788434	74	1.00096	0.000147969
0.788434	75	1.00059	9.47923e-05
0.788434	76	1.00035	5.94381e-05
0.788434	77	1.00021	3.64837e-05
0.788434	78	1.00012	2.19241e-05
0.788434	79	1.00007	1.28995e-05
0.788434	80	1.00004	7.43184e-06
0.788434	81	1.00002	4.19297e-06
0.788434	82	1.00001	2.31675e-06
0.788434	83	1.00001	1.25372e-06
0.788434	84	1	6.64521e-07
0.788434	85	1	3.45007e-07
0.788434	86	1	1.75461e-07
0.788434	87	1	8.74147e-08
0.788434	88	1	4.26638e-08
0.788434	89	1	2.03997e-08
0.788434	90	1	9.55629e-09
0.788434	91	1	4.38605e-09
0.788434	92	1	1.97238e-09
0.788434	93	1	8.69063e-10
0.788434	94	1	3.75205e-10
0.788434	95	1	1.58728e-10
0.788434	96	1	6.57985e-11
0.788434	97	1	2.6728e-11
0.788434	98	1	1.06275e-11
0.788434	99	1	4.11472e-12
0.788434	100	1	0
0.788434	101	1	-4.11472e-12
0.788434	102	1	-1.06275e-11
1.17949	-1	1	6.42917e-12
1.17949	0	1	0
1.17949	1	1	-6.42917e-12
1.17949	2	1	-1.6747e-11
1.17949	3	1	-4.20693e-11
1.17949	4	1	-1.0328e-10
1.17949	5	1	-2.48482e-10
1.17949	6	1	-5.85863e-10
1.17949	7	1	-1.35365e-09
1.17949	8	1	-3.0649e-09
1.17949	9	1	-6.80002e-09
1.17949	10	1	-1.47834e-08
1.17949	11	1	-3.14916e-08
1.17949	12	1	-6.57288e-08
1.17949	13	1	-1.34412e-07
1.17949	14	1	-2.69295e-07
1.17949	15	1	-5.28572e-07
1.17949	16	1	-1.01635e-06
1.17949	17	1.00001	-1.91438e-06
1.17949	18	1.00001	-3.53206e-06
1.17949	19	1.00002	-6.38294e-06
1.17949	20	1.00004	-1.12973e-05
1.17949	21	1.00007	-1.95823e-05
1.17949	22	1.00013	-3.32388e-05
1.17949	23	1.00022	-5.5244e-05
1.17949	24	1.00036	-8.9896e-05
1.17949	25	1.00061	-0.000143207
1.17949	26	1.00098	-0.000223306
1.17949	27	1.00157	-0.000340795
1.17949	28	1.00245	-0.000508949
1.17949	29	1.00375	-0.000743646
1.17949	30	1.00564	-0.00106287
1.17949	31	1.00831	-0.00148566
1.17949	32	1.01199	-0.00203029
1.17949	33	1.01697	-0.00271183
1.17949	34	1.02354	-0.00353886
1.17949	35	1.03203	-0.00450989
1.17949	36	1.04271	-0.00560958
1.17949	37	1.05584	-0.00680557
1.17949	38	1.07156	-0.00804651
1.17949	39	1.08992	-0.00926216
1.17949	40	1.11076	-0.0103656
1.17949	41	1.13375	-0.0112592
1.17949	42	1.15834	-0.0118408
1.17949	43	1.18377	-0.012018
1.17949	44	1.20908	-0.0117145
1.17949	45	1.23321	-0.0108833
1.17949	46	1.25501	-0.00951663
1.17949	47	1.27336	-0.00764884
1.17949	48	1.28727	-0.00535723
1.17949	49	1.29596	-0.00275895
1.17949	50	1.29891	0
1.17949	51	1.29596	0.00275895
1.17949	52	1.28727	0.00535723
1.17949	53	1.27336	0.00764884
1.17949	54	1.25501	0.00951663
1.17949	55	1.23321	0.0108833
1.17949	56	1.20908	0.0117145
1.17949	57	1.18377	0.012018
1.17949	58	1.15834	0.0118408
1.17949	59	1.13375	0.0112592
1.17949	60	1.11076	0.0103656
1.17949	61	1.08992	0.00926216
1.17949	62	1.07156	0.00804651
1.17949	63	1.05584	0.00680557
1.17949	64	1.04271	0.00560958
1.17949	65	1.03203	0.00450989
1.17949	66	1.02354	0.00353886
1.17949	67	1.01697	0.00271183
1.17949	68	1.01199	0.00203029
1.17949	69	1.00831	0.00148566
1.17949	70	1.00564	0.00106287
1.17949	71	1.00375	0.000743646
1.17949	72	1.00245	0.000508949
1.17949	73	1.00157	0.000340795
1.17949	74	1.00098	0.000223306
1.17949	75	1.00061	0.000143207
1.17949	76	1.00036	8.9896e-05
1.17949	77	1.00022	5.5244e-05
1.17949	78	1.00013	3.32388e-05
1.17949	79	1.00007	1.95823e-05
1.17949	80	1.00004	1.12973e-05
1.17949	81	1.00002	6.38294e-06
1.17949	82	1.00001	3.53206e-06
1.17949	83	1.00001	1.91438e-06
1.17949	84	1	1.01635e-06
1.17949	85	1	5.28572e-07
1.17949	86	1	2.69295e-07
1.17949	87	1	1.34412e-07
1.17949	88	1	6.57288e-08
1.17949	89	1	3.14916e-08
1.17949	90	1	1.47834e-08
1.17949	91	1	6.80002e-09
1.17949	92	1	3.0649e-09
1.17949	93	1	1.35365e-09
1.17949	94	1	5.85863e-10
1.17949	95	1	2.48482e-10
